"state","male","female","under_5_years","x5_to_9_years","x10_to_14_years","x15_to_19_years","x20_to_24_years","x25_to_34_years","x35_to_44_years","x45_to_54_years","x55_to_59_years","x60_to_64_years","x65_to_74_years","x75_to_84_years","x85_years_and_over","hispanic_or_latino_of_any_race","white_alone","black_or_african_american_alone","american_indian_and_alaska_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","high_school_graduate_or_higher","civilian_labor_force","unemployed","unemployment_rate","agriculture_forestry_fishing_and_hunting_and_mining","construction","manufacturing","wholesale_trade","retail_trade","transportation_and_warehousing_and_utilities","information","finance_and_insurance_and_real_estate_and_rental_and_leasing","professional_scientific_and_management_and_administrative_and_waste_management_services","educational_services_and_health_care_and_social_assistance","arts_entertainment_and_recreation_and_accommodation_and_food_services","other_services_except_public_administration","public_administration","per_capita_income_dollars","with_health_insurance_coverage","no_health_insurance_coverage"
"Massachusetts",0.485390575818393,0.514609424181607,0.0515148125434258,0.0515808262977905,0.0573967105999083,0.0654904321405446,0.0702705533824215,0.14401255973338,0.123272198793385,0.129764905434209,0.0701614493312517,0.0664532173580483,0.0981003562856628,0.0487779258130174,0.0232040522869558,0.123864291390225,0.703106839416682,0.0710325407185169,2.76792545872968e-10,0.0682084577982773,0.00035879563636026,0.642674366627044,3852055,151812,0.0394106522362739,0.00236271415395672,0.032054683139595,0.046839239410119,0.0113680328997244,0.0552642886956384,0.0237976451732884,0.0122784607289668,0.0381904682457874,0.0796213851726932,0.15087123251843,0.0468471561738515,0.0229247486684077,0.0200604928713208,46241,0.970080643967155,0.0299193560328452
"Michigan",0.492237447677483,0.507762552322517,0.0568661391667068,0.0579449570570601,0.0618448827293712,0.0654077654260995,0.0675662022596298,0.130373049298693,0.117557405698309,0.125434758903627,0.0702632469855131,0.0698682278118131,0.104318405680586,0.0511575363500248,0.021397422632566,0.0526665196067191,0.746683466079468,0.135210607301176,5.30735241621169e-10,0.0326044520313047,0.000190250045634978,0.630662880223478,5005268,250252,0.0499977223996797,0.00572074296172898,0.0275414125795613,0.0889575631768697,0.0116387633931563,0.0503200267706235,0.0209971449931707,0.00577317483925783,0.0261767666860401,0.0456121907556729,0.112425686923389,0.0477130085512546,0.0227550299681583,0.0156704508716344,32892,0.942189300131606,0.057810699868394
"Minnesota",0.497233862067596,0.502766137932404,0.0619935839785291,0.0640697832766393,0.0660924329814428,0.0644293812078519,0.0612405206580855,0.135749637565004,0.129511819210899,0.119300337326975,0.0685294714265044,0.0656874420174933,0.0945746105419644,0.0490340504486818,0.0197869293599299,0.0557158694042448,0.789402216314823,0.0643284880999328,1.64994291479532e-09,0.0502554067357586,0.000464214686348329,0.638609398627428,3109179,98727,0.031753398565988,0.0111089250555652,0.0337820839488334,0.0720663672128939,0.0150196350792391,0.0577018320578953,0.0255883177191628,0.00828264193055224,0.0383036352311879,0.054272054254315,0.137425306782434,0.0430814208931004,0.023639861325237,0.0191554013132102,39025,0.951152051272679,0.0488479487273215
"Mississippi",0.482152271274052,0.517847728725948,0.0603118325056978,0.0639339629837081,0.0709856932566212,0.0721260931492341,0.0674660442067921,0.123725996245484,0.127550737547078,0.1214848450128,0.0647551584278879,0.0640912131751468,0.097126857559887,0.0481558550999967,0.0182857108296661,0.0302884701001193,0.562983909743766,0.378064068700861,1.50811797613761e-09,0.0103610403914589,5.88008194482198e-05,0.567426899661274,1328569,87817,0.0660989380303168,0.00935719747477199,0.0289023410724128,0.0574951740492438,0.0113598766649831,0.0465009231879403,0.0291457473277815,0.00454037014964837,0.0199400332368315,0.028116348878627,0.108194941212397,0.0416345194826567,0.0210007612040037,0.0209783829768482,25301,0.870250350391395,0.129749649608605
"Missouri",0.490135118489374,0.509864881510626,0.0595446496480285,0.0620484672080878,0.0638329280604188,0.0648863009065035,0.064357903669094,0.134212898302025,0.123294155141209,0.119047425077736,0.0684804774899192,0.067919167442779,0.0992679669724842,0.0532848613458276,0.0198227987358874,0.0430691814225764,0.790950215627784,0.113616974406869,6.26227999047543e-10,0.0205750682533465,0.00137989398816573,0.621489490385875,3058521,116062,0.0379470992679141,0.00766227650932247,0.0323034083444271,0.0540858858614455,0.0132109991172072,0.0551297904799553,0.0285538225428586,0.00852297877393942,0.0347398501660531,0.0482234105368759,0.118097751660323,0.0447239632166879,0.0223146446447361,0.0211577956920041,31756,0.899728352266735,0.100271647733265
"Montana",0.502602037092829,0.497397962907171,0.0550628849021967,0.0578445664113595,0.0634210285017094,0.065507523545582,0.0639599617507097,0.124552526343169,0.123947162086046,0.109637361547487,0.0679411439980988,0.0735962005205946,0.118348244443654,0.0565702138329943,0.0196111821163984,0.0377328126140321,0.857569111639648,0.00577014122670938,5.73902990722032e-08,0.00811674641506468,0.00020958515238899,0.654268706878323,542265,22004,0.0405779462071128,0.0298307021523358,0.0393462320361867,0.0241618152586353,0.0114554603728387,0.0655001774789635,0.0240507722707627,0.00741140762647037,0.0259166741011687,0.0443336756367888,0.116354069583143,0.0541244402769051,0.0230589780628408,0.0282276969684315,32625,0.917295752083717,0.0827042479162831
"Nebraska",0.499713607470606,0.500286392529394,0.0669719107861423,0.0681671084900393,0.0707358530361744,0.0680694041794699,0.0686091041807106,0.133338468409973,0.125646709484245,0.111713247670605,0.0620246607747693,0.0632813760075434,0.0925683723392376,0.0474780914884554,0.0213956931526338,0.113456933594154,0.78357616387029,0.0475892366036534,3.92667777136818e-09,0.0244979342517194,0.000895881323898578,0.60509365139102,1043090,34133,0.0327229673374301,0.0245645046688629,0.0403075079389837,0.0534924963672618,0.012519095835493,0.0553798922493358,0.0293454874486073,0.00916337527721455,0.0421618192521732,0.0463120946155652,0.132337225233968,0.0384899572578879,0.0242625423338065,0.0215196740277207,33272,0.917066438540687,0.0829335614593131
"Nevada",0.501526221399176,0.498473778600824,0.0597917767801371,0.0601670824464735,0.06710082216615,0.0599534569028322,0.0593642010339736,0.145789693768757,0.133214356675441,0.128598681365489,0.0642545377571785,0.0600141681135631,0.0992946461153266,0.0485637740426134,0.0138928028320644,0.292387463492109,0.478413106349159,0.092647580187497,2.96249112654478e-09,0.0833425320016259,0.00654285042705629,0.602421111138527,1558868,79000,0.0506777995314549,0.00710779554179033,0.0370570072671558,0.0242562723042736,0.00940324023737777,0.0545228902099908,0.0322788285149038,0.00763417721976501,0.0253987374068441,0.0545481907026275,0.0788563783034804,0.112740966656251,0.0230553203485948,0.0193920061614914,33575,0.885776161612975,0.114223838387025
"New Hampshire",0.494928701760889,0.505071298239111,0.0472159157350349,0.049275912307836,0.056416400249759,0.0642680687293109,0.0622661727381775,0.125563446938357,0.116925581980288,0.133946846057728,0.0814901107661849,0.0764544818715154,0.111825233450343,0.0531215824539185,0.021230246721546,0.039848173619247,0.896563313821834,0.0143184838542896,8.34359815077256e-10,0.0263004417850558,0.00049054541737178,0.672259031514785,758102,22609,0.0298231636376108,0.0040726935981068,0.0400003870957176,0.0731573685530883,0.0134895413436837,0.0665797190131739,0.0229852970624646,0.0115808616899557,0.0320061161123382,0.0614462342658618,0.132963656923021,0.0480058243017203,0.0216393950289466,0.0195848100662753,41241,0.937451287353806,0.0625487126461938
"New Jersey",0.488909942255232,0.511090057744768,0.0576349976751229,0.0590611099289702,0.0634082360318795,0.062507782427532,0.0603493057455425,0.12929896793471,0.128808773511938,0.135099114069841,0.0698309763695665,0.0679296434775658,0.0942337419037422,0.0499947648046259,0.0218425861189639,0.20905260977304,0.543206799224065,0.126617759809236,1.18807100862549e-10,0.0955867865920454,0.000305555274093439,0.629530554964485,4717175,220476,0.0467389910274688,0.00180868771746869,0.0323241540314149,0.0409811968492165,0.0164050129581029,0.0527332800363173,0.0339894958691774,0.0120785426031247,0.0440621077359373,0.0700015588009812,0.124452824392409,0.0408322675449432,0.0212459560053491,0.021472255621483,44888,0.921109515340516,0.078890484659484
"New Mexico",0.49441704592983,0.50558295407017,0.0557880494785221,0.0623565393267644,0.0697276697336788,0.0663792803323495,0.0656796524656994,0.132880172870558,0.124877612814397,0.112109761930992,0.063126749963874,0.0669310659095234,0.106833222928527,0.0539962963121933,0.0193139259329206,0.49262481585289,0.367544516028727,0.0189533815108433,4.21041516085068e-08,0.0160690261342246,0.000299976774453234,0.584053349128613,960264,52489,0.0546610098889472,0.0192941146757666,0.0317331724721431,0.0181080548132563,0.00766907667036764,0.0483190685593112,0.0196005863273817,0.00642279099993297,0.0209833514496449,0.0495998383617026,0.113481449965467,0.048187931719476,0.0256649366317648,0.0318346821000156,28423,0.900357372173151,0.0996426278268489
"New York",0.485813882609976,0.514186117390024,0.0575640110311937,0.0540858817570726,0.0598462667066456,0.0610308827263039,0.0650445437727314,0.147294420800387,0.124918311871025,0.127054733064039,0.0678369888165976,0.0658964700601602,0.0958123810853961,0.0510160581910942,0.0225990501173538,0.19272857036303,0.550568813596647,0.142066997399602,1.13089389068607e-10,0.0858126694644749,0.000191481652125284,0.615337418172436,10056194,445165,0.04426774185144,0.0029036887537961,0.0299638215204726,0.0287144983477944,0.0113909459228828,0.0482234684860923,0.0286404852014565,0.014333931389397,0.039066241401632,0.0608137188519551,0.143671696420351,0.047189106139276,0.0222960179209666,0.0230332346612829,41857,0.947611600452053,0.0523883995479473
"North Carolina",0.485725228745308,0.514274771254692,0.0568819814944274,0.0586897473361197,0.0654730644796514,0.0679882045185756,0.0657058047971393,0.133643380430592,0.125157369067601,0.129976075706487,0.0667882713372624,0.0627509276241495,0.0998742954385186,0.0494991268185876,0.0175717509508886,0.0975387878281677,0.624721159746623,0.211122450964352,1.05510927367721e-09,0.0293062107435448,0.00047701753723559,0.607179824265328,5174709,236872,0.0457749411609426,0.00548348020856211,0.0368416220036413,0.0567290616475224,0.0119784318001389,0.0534683090132128,0.0244193644586522,0.00746508483267585,0.0309130515894175,0.0538151603404395,0.109419532729206,0.0479662509573427,0.0230129922375723,0.0187723797405365,32021,0.887435753232497,0.112564246767503
"North Dakota",0.509589770911028,0.490410229088972,0.0663554933850527,0.0642375554744889,0.0661560345483701,0.0615868525133126,0.0798084670276172,0.154284034632353,0.126022554595295,0.100422275352924,0.061931968789941,0.0614949964701035,0.0882880920450042,0.0456931325797639,0.0237185425857739,0.0400046190467442,0.836383391377604,0.0285514826877603,6.72961556704524e-08,0.0139489962758936,0.0036637438948537,0.618527101469434,416619,10920,0.0262109985382328,0.0514800341856453,0.0400592873690491,0.0360494616835893,0.0208997382325591,0.0619077310084228,0.0267814429997366,0.0054611030783206,0.0287460425815537,0.0363571862418903,0.143374112436372,0.0433246615029859,0.0245655574248964,0.0261619625570433,36611,0.931032073230382,0.0689679267696178
"Ohio",0.490389080425354,0.509610919574646,0.0587446424446707,0.0590454354911841,0.0643667177113721,0.0655542342866431,0.0636298774071571,0.132150208313728,0.120124560487976,0.12416174042484,0.0678731467777673,0.0695243431915203,0.101602433035905,0.052436457896673,0.0207862025305627,0.0400021387446424,0.783436962640409,0.123634069346656,1.19695915108718e-10,0.0233738268985636,0.000367521879357692,0.625279790574125,5965597,272654,0.0457043947152313,0.00452507353266201,0.0288912215084545,0.0755228571967002,0.0125039177326938,0.0559657613827449,0.0260312006538282,0.00702208806620193,0.0308892326159269,0.048216010645638,0.118998248451079,0.0448648022905178,0.0219100367860879,0.0190553133921282,32780,0.934193206727497,0.0658067932725029
